,solar-rooftop,onwind,offwind
2023-12-11 11:45:00+01:00,0.002085836556662003,0.3240639336983868,0.561861152141802
2023-12-11 12:00:00+01:00,0.002563986503168464,0.31947757880716293,0.5672167123865794
2023-12-11 12:15:00+01:00,0.001222121636079335,0.3198904839425781,0.5847647182949989
2023-12-11 12:30:00+01:00,0.0012842564397991935,0.3228799763208524,0.582175564465077
2023-12-11 12:45:00+01:00,0.0016155048967163195,0.3227541808494894,0.5752774847014137
2023-12-11 13:00:00+01:00,0.0014035881820426302,0.31075921266834394,0.5771639586410635
2023-12-11 13:15:00+01:00,0.001675170767838038,0.31153026491046326,0.5698565098121967
2023-12-11 13:30:00+01:00,0.0013007159904534606,0.3195900547580287,0.5853239079974678
2023-12-11 13:45:00+01:00,0.001156694922228623,0.3062942134083173,0.6001645916860097
2023-12-11 14:00:00+01:00,0.0010258414945271993,0.28940210152434515,0.6067334880776535
2023-12-11 14:15:00+01:00,0.0009970372808822318,0.2840654136451088,0.5826397974256172
2023-12-11 14:30:00+01:00,0.0009793432639288947,0.2765828030190913,0.5641422240979109
2023-12-11 14:45:00+01:00,0.001337338490659205,0.2692289477578807,0.5768579869170711
2023-12-11 15:00:00+01:00,0.0012801415521356268,0.2730723693947018,0.5789660265878876
2023-12-11 15:15:00+01:00,0.0007213398074232574,0.2519150510581619,0.5611352606035028
2023-12-11 15:30:00+01:00,0.0004308287383754424,0.2401953529672932,0.5315847225152985
2023-12-11 15:45:00+01:00,0.00012961896140235371,0.2467455971585023,0.5036231272420342
2023-12-11 16:00:00+01:00,3.2919101308534276e-05,0.24056533964777269,0.48997889850179366
2023-12-11 16:15:00+01:00,3.291910130853428e-06,0.24171377830398105,0.4754273053386791
2023-12-11 16:30:00+01:00,0.0,0.23751960929406543,0.4600063304494619
2023-12-11 16:45:00+01:00,0.0,0.22150510581619062,0.45226208060772316
2023-12-11 17:00:00+01:00,0.0,0.2066627201420749,0.43220932686220714
2023-12-11 17:15:00+01:00,0.0,0.20286665680035518,0.41342266300907365
2023-12-11 17:30:00+01:00,0.0,0.20835873908539293,0.3910825068579869
2023-12-11 17:45:00+01:00,0.0,0.21174781707858517,0.3731272420341844
2023-12-11 18:00:00+01:00,0.0,0.20747225099896405,0.38324330027431946
2023-12-11 18:15:00+01:00,0.0,0.20987864436880274,0.4008630512766407
2023-12-11 18:30:00+01:00,0.0,0.19315820630457303,0.40825701624815364
2023-12-11 18:45:00+01:00,0.0,0.19425484682551428,0.4026208060772315
2023-12-11 19:00:00+01:00,0.0,0.18932070445463964,0.382844481958219
2023-12-11 19:15:00+01:00,0.0,0.1829406541364511,0.36507913061827385
2023-12-11 19:30:00+01:00,0.0,0.17356963149326624,0.35356615319687695
2023-12-11 19:45:00+01:00,0.0,0.15786443688027232,0.3238489132728424
2023-12-11 20:00:00+01:00,0.0,0.1480035518721326,0.29548638953365686
2023-12-11 20:15:00+01:00,0.0,0.13888560011839574,0.2804346908630513
2023-12-11 20:30:00+01:00,0.0,0.1437649844605594,0.2852395020046423
2023-12-11 20:45:00+01:00,0.0,0.14580287109664053,0.25152774847014137
2023-12-11 21:00:00+01:00,0.0,0.14058309900843569,0.22226841105718503
2023-12-11 21:15:00+01:00,0.0,0.13741749297025307,0.19995568685376663
2023-12-11 21:30:00+01:00,0.0,0.13416161018203343,0.18699936695505381
2023-12-11 21:45:00+01:00,0.0,0.13363622909575257,0.17653091369487234
2023-12-11 22:00:00+01:00,0.0,0.12324700310788811,0.1641295631989871
2023-12-11 22:15:00+01:00,0.0,0.12075477282817819,0.1485946402194556
2023-12-11 22:30:00+01:00,0.0,0.1248808642888856,0.13639797425617217
2023-12-11 22:45:00+01:00,0.0,0.11951013763504513,0.12909685587676725
2023-12-11 23:00:00+01:00,0.0,0.11307828918158946,0.11225997045790251
2023-12-11 23:15:00+01:00,0.0,0.10037294657392334,0.10485123443764507
2023-12-11 23:30:00+01:00,0.0,0.07965961225395886,0.10317999577970037
2023-12-11 23:45:00+01:00,0.0,0.07457451531744858,0.08663220088626293
2023-12-12 00:00:00+01:00,0.0,0.07254698830842089,0.081076176408525
