,solar-rooftop,onwind,offwind
2023-08-06 23:45:00+02:00,8.995356029090034e-05,0.35070984412437833,0.33862356405972827
2023-08-07 00:00:00+02:00,0.00010541926013038848,0.3513989492834882,0.3410913269084566
2023-08-07 00:15:00+02:00,9.437233167361125e-05,0.35317496672673315,0.3534608959233935
2023-08-07 00:30:00+02:00,8.411446953517524e-05,0.3543886508069146,0.3581430023053777
2023-08-07 00:45:00+02:00,9.973798263833162e-05,0.3567190350795917,0.3956023137429541
2023-08-07 01:00:00+02:00,0.00011015365804043588,0.3622578541795293,0.4424639738609048
2023-08-07 01:15:00+02:00,0.0001003692356930046,0.36955987499469617,0.4661119326052244
2023-08-07 01:30:00+02:00,9.737078368330792e-05,0.37385920537290734,0.4960350948846204
2023-08-07 01:45:00+02:00,9.405670514627475e-05,0.37553460203267836,0.5356152553507152
2023-08-07 02:00:00+02:00,9.516139799195247e-05,0.38005976632078636,0.5613336252986288
2023-08-07 02:15:00+02:00,8.900668070889086e-05,0.3822909152940993,0.6252272777598716
2023-08-07 02:30:00+02:00,9.04270000819051e-05,0.38183422509440773,0.6556191427538068
2023-08-07 02:45:00+02:00,9.500358472828422e-05,0.37952929909224814,0.6761584092156058
2023-08-07 03:00:00+02:00,9.847547652898565e-05,0.3829112658042605,0.6077044392667079
2023-08-07 03:15:00+02:00,8.585041543552595e-05,0.39141034489029125,0.5817609443929131
2023-08-07 03:30:00+02:00,8.253633689849278e-05,0.3956861220386359,0.5900844156962511
2023-08-07 03:45:00+02:00,7.92222583614596e-05,0.4013141316781416,0.5933444214535443
2023-08-07 04:00:00+02:00,8.127383078914681e-05,0.4065680606080023,0.550544851528266
2023-08-07 04:15:00+02:00,7.843319204311837e-05,0.40953957765248766,0.589197448092097
2023-08-07 04:30:00+02:00,8.506134911718471e-05,0.4128536556431201,0.588882519234034
2023-08-07 04:45:00+02:00,8.711292154487191e-05,0.4213397458156215,0.5774405141213608
2023-08-07 05:00:00+02:00,8.695510828120366e-05,0.42940897845658804,0.5371259297167362
