,solar_cf,wind_onshore_cf,wind_offshore_cf
2024-01-04 02:00:00+01:00,0.0,0.41404535598949294,0.7009183944122718
2024-01-04 03:00:00+01:00,0.0,0.3883434648464879,0.8230195393660759
2024-01-04 04:00:00+01:00,0.0,0.4018605191963789,0.7757537244153663
2024-01-04 05:00:00+01:00,0.0,0.3906222364878586,0.7402082136068255
2024-01-04 06:00:00+01:00,0.0,0.41163966749421915,0.7295952875646523
2024-01-04 07:00:00+01:00,0.0,0.42568076562796825,0.8441304540029176
2024-01-04 08:00:00+01:00,5.120158747677438e-06,0.4472926588016429,0.8270843464037841
2024-01-04 09:00:00+01:00,0.020151238111275838,0.43051752598929643,0.6950875292869458
2024-01-04 10:00:00+01:00,0.07994786540581808,0.4453463274356573,0.647581892931347
2024-01-04 11:00:00+01:00,0.15184627235375972,0.4021503809143254,0.48010476990407147
2024-01-04 12:00:00+01:00,0.19890394468408049,0.3751416555853242,0.3452455682772645
2024-01-04 13:00:00+01:00,0.19885814770861518,0.2901990711323931,0.2123292515803899
2024-01-04 14:00:00+01:00,0.14798169031231828,0.2148342056478819,0.1491921223641749
2024-01-04 15:00:00+01:00,0.06631316711401683,0.1919228476539215,0.10373325670836833
2024-01-04 16:00:00+01:00,0.004354979468163421,0.1899118296333659,0.07080146766279122
2024-01-04 17:00:00+01:00,2.844532637598577e-07,0.21758543551313714,0.15632929578710048
2024-01-04 18:00:00+01:00,0.0,0.2377635776469124,0.20494783608151718
2024-01-04 19:00:00+01:00,0.0,0.2782459599499538,0.2818498298041643
2024-01-04 20:00:00+01:00,0.0,0.33063559960434696,0.49078953185093493
2024-01-04 21:00:00+01:00,0.0,0.4097662109669263,0.6930142345608064
2024-01-04 22:00:00+01:00,0.0,0.47202998185498407,0.8280104769904072
2024-01-04 23:00:00+01:00,0.0,0.5112358262532835,0.8296593872949914
2024-01-05 00:00:00+01:00,0.0,0.539783930197368,0.84574178860351
2024-01-05 01:00:00+01:00,0.0,0.5588525733825062,0.8698554440564078
2024-01-05 02:00:00+01:00,0.0,0.576093613871439,0.853528800671942
2024-01-05 03:00:00+01:00,0.0,0.6145346818726706,0.8898258255603201
2024-01-05 04:00:00+01:00,0.0,0.6581695150629835,0.9091032668759118
2024-01-05 05:00:00+01:00,0.0,0.681954552302845,0.903945448919146
2024-01-05 06:00:00+01:00,0.0,0.706500271847713,0.7617777728659211
2024-01-05 07:00:00+01:00,0.0,0.7400104153702043,0.8223719110560983
2024-01-05 08:00:00+01:00,5.0063774421734956e-05,0.7446031678446734,0.6084932142699262
2024-01-05 09:00:00+01:00,0.01223461932757524,0.7317182413090615,0.6347420538437735
2024-01-05 10:00:00+01:00,0.03337404807715282,0.7178785725047329,0.5571869059723266
2024-01-05 11:00:00+01:00,0.04301075574680928,0.7168992656836479,0.557964944078511
2024-01-05 12:00:00+01:00,0.04315212901889793,0.7179465344329519,0.592243932628973
2024-01-05 13:00:00+01:00,0.03821288254697177,0.6937815654497933,0.5809601697537686
2024-01-05 14:00:00+01:00,0.027088199854587488,0.6365666288918439,0.7831915034702268
2024-01-05 15:00:00+01:00,0.012358640950574538,0.5868013022488029,0.825613368109279
2024-01-05 16:00:00+01:00,0.0012148998895183522,0.5066700947864194,0.820132841165289
2024-01-05 17:00:00+01:00,5.689065275197154e-07,0.4233676036132819,0.8645207992573273
2024-01-05 18:00:00+01:00,0.0,0.4014470158981783,0.8688851067592062
2024-01-05 19:00:00+01:00,0.0,0.35674771877190337,0.8743733698775474
2024-01-05 20:00:00+01:00,0.0,0.3439864338165454,0.7879315680120244
2024-01-05 21:00:00+01:00,0.0,0.3112214150492274,0.7598669378011582
2024-01-05 22:00:00+01:00,0.0,0.2866462180415174,0.7444465319835551
2024-01-05 23:00:00+01:00,0.0,0.2854564748884769,0.7377878962026436
2024-01-06 00:00:00+01:00,0.0,0.2526595222030801,0.6530933645727421
2024-01-06 01:00:00+01:00,0.0,0.20970185183972123,0.6101973829627338
2024-01-06 02:00:00+01:00,0.0,0.1878885293366261,0.630004199637505
2024-01-06 03:00:00+01:00,0.0,0.17062865602421085,0.5921135228327661
2024-01-06 04:00:00+01:00,0.0,0.15728273472248608,0.5778557535033818
2024-01-06 05:00:00+01:00,0.0,0.151684473237739,0.5367324609875779
2024-01-06 06:00:00+01:00,0.0,0.12980810171689844,0.6024855223022855
2024-01-06 07:00:00+01:00,0.0,0.12248786511113005,0.632523982140489
2024-01-06 08:00:00+01:00,8.53359791279573e-06,0.12051696919277606,0.5534779629547766
2024-01-06 09:00:00+01:00,0.0025031887210867475,0.11876715424573724,0.47194531629901426
2024-01-06 10:00:00+01:00,0.015140309416882186,0.10709244132347259,0.39135316741081294
2024-01-06 11:00:00+01:00,0.027446610966924908,0.10758209473401502,0.36690575129304626
2024-01-06 12:00:00+01:00,0.0310677010145879,0.1240583588258799,0.3937856416604041
2024-01-06 13:00:00+01:00,0.030717539046899518,0.14937786177035092,0.49073095795941823
2024-01-06 14:00:00+01:00,0.02670390349524792,0.1806919343111117,0.57649197648203
2024-01-06 15:00:00+01:00,0.013637827277702618,0.17844100249575853,0.6444686353388445
2024-01-06 16:00:00+01:00,0.001687092307359716,0.1912039250879411,0.6997038150391229
2024-01-06 17:00:00+01:00,2.844532637598577e-07,0.1892305727143503,0.6404491401794793
2024-01-06 18:00:00+01:00,0.0,0.17160304993482203,0.6375303921135229
2024-01-06 19:00:00+01:00,0.0,0.15950664553023405,0.6133681092789885
2024-01-06 20:00:00+01:00,0.0,0.14580290058234366,0.5648578754254897
2024-01-06 21:00:00+01:00,0.0,0.13752628407103415,0.512693956942664
2024-01-06 22:00:00+01:00,0.0,0.13415275221244735,0.4698664957340524
2024-01-06 23:00:00+01:00,0.0,0.12527348534970098,0.5375646523142213
